Formula,Name,Kind
rich,rich,rich
Glucose,Glucose,compound
G6P,math`Glucose-6-phosphate`,compound
F6P,math`Fructose-6-phosphate`,compound
F16BP,math`Fructose-1-6-bisphosphate`,compound
DHAP,Dihydroxyacetone phosphate,compound
G3P,math`Glyceraldehyde-3-phosphate`,compound
Pyruvate,Pyruvate,compound
Hexokinase,Hexokinase,enzyme
PGI,Phosphoglucose isomerase,enzyme
PFK,Phosphofructokinase,enzyme
Aldolase,Aldolase,enzyme
TPI,Triosephosphate isomerase,enzyme
GAPDH,GAPDH,enzyme
PK,Pyruvate kinase,enzyme
Another row,,
