Group,Name,Identity,Notes
text,text,math,text
Null elements,AND null,x * 0 = 0,
Null elements,OR identity,x + 1 = 1,
Identity elements,AND identity,x * 1 = x,
Identity elements,OR null,x + 0 = x,
Idempotency,AND,x * x = x,
Idempotency,OR,x + x = x,
Complement,AND complement,x * (-x) = 0,
Complement,OR complement,x + (-x) = 1,
Involution,Double negation,-(-x) = x,
Commutativity,AND,x * y = y * x,
Commutativity,OR,x + y = y + x,
Associativity,AND,(x * y) * z = x * (y * z),
Associativity,OR,(x + y) + z = x + (y + z),
Distributivity,AND over OR,x * (y + z) = x*y + x*z,
Distributivity,OR over AND,x + y*z = (x+y) * (x+z),
Absorption,AND,x * (x + y) = x,
Absorption,OR,x + x*y = x,
De Morgan,NAND,-(x*y) = (-x) + (-y),Augustus De Morgan
De Morgan,NOR,-(x+y) = (-x) * (-y),
Consensus,AND,x*y + y*z + (-x)*z = x*y + (-x)*z,
Consensus,OR,(x+y)*(y+z)*((-x)+z) = (x+y)*((-x)+z),
