Group,Name,Formula,Notes
text,text,math,text
Vectors,Dot product,"[u] . [v] = \S{k=0, n, u[k]*v[k]}","Scalar result"
Vectors,Cross product,"[u] \cross [v] = [[u[1]*v[2]-u[2]*v[1]], [u[2]*v[0]-u[0]*v[2]], [u[0]*v[1]-u[1]*v[0]]]","3D only"
Vectors,Magnitude,"|[v]| = \sqrt{v[0]^2 + v[1]^2 + v[2]^2}",
Vectors,Unit vector,"[v] / |[v]|",
Vectors,Angle,"\cos(\t) = ([u] . [v]) / (|[u]| * |[v]|)",
Matrices,Matrix product,"(AB)[i][j] = \S{k=0, n, A[i][k] * B[k][j]}","A is m×n, B is n×p"
Matrices,Transpose,"(A^T)[i][j] = A[j][i]",
Matrices,Determinant 2x2,"det([[a, b], [c, d]]) = a*d - b*c",
Matrices,Inverse 2x2,"A^(-1) = 1/det(A) * [[d, -b], [-c, a]]",
Matrices,Eigenvalue equation,"A*[v] = \l*[v]","[v] is eigenvector"
Matrices,Characteristic polynomial,"det(A - \l*I) = 0",
Matrices,Trace,"\S{k=0, n, A[k][k]}","Sum of diagonal"
Systems,Gaussian elimination,"[A|b] -> row reduce -> [I|x]",
Systems,Cramer's rule,"x[k] = det(A_k) / det(A)","A_k has column k replaced by b"
Spaces,Null space,"Null(A) = {[x] : A*[x] = [0]}",
Spaces,Column space,"Col(A) = span of columns of A",
Spaces,Rank-nullity,"rank(A) + nullity(A) = n","n = number of columns"
Decompositions,LU decomposition,"A = L*U","L lower triangular, U upper triangular"
Decompositions,QR decomposition,"A = Q*R","Q orthogonal, R upper triangular"
Decompositions,SVD,"A = U*\S*V^T","Singular value decomposition"
