From,To,Type,Enzyme
rich,rich,rich,rich
Glucose,Hexokinase,reaction,
Hexokinase,G6P,reaction,Hexokinase
G6P,PGI,reaction,
PGI,F6P,reaction,PGI
F6P,PFK,reaction,
PFK,F16BP,reaction,PFK
F16BP,Aldolase,reaction,
Aldolase,DHAP,reaction,Aldolase
Aldolase,G3P,reaction,Aldolase
DHAP,TPI,reaction,
TPI,G3P,reaction,TPI
G3P,GAPDH,reaction,
GAPDH,Pyruvate,reaction,GAPDH
Pyruvate,PDH,reaction,
PDH,AcCoA,reaction,PDH
AcCoA,CS,reaction,
OAA,CS,reaction,
CS,Citrate,reaction,CS
Citrate,Aconitase,reaction,
Aconitase,IsoCitrate,reaction,Aconitase
IsoCitrate,IDH,reaction,
IDH,aKG,reaction,IDH
aKG,KGDH,reaction,
KGDH,SucCoA,reaction,KGDH
SucCoA,SCS,reaction,
SCS,Succinate,reaction,SCS
Succinate,SDH,reaction,
SDH,Fumarate,reaction,SDH
Fumarate,Fumarase,reaction,
Fumarase,Malate,reaction,Fumarase
Malate,MDH,reaction,
MDH,OAA,reaction,MDH
